repo,pr_number,titulo,descricao,categoria
accumulo,1575,Skip restricted ports in TServer port search,"Fixes #1573. Includes debug logging for ports being skipped. This has been tested by running 4 TableServer instances on a single node using Uno. Debug logs added in this PR are below, clearly showing the reserved ports being skipped:
2020-03-28T15:04:31,877 [rpc.TServerUtils] WARN : Error attempting to create server at 0.0.0.0:9997. Error: Could not create ServerSocket on address /0.0.0.0:9997.
2020-03-28T15:04:31,883 [rpc.TServerUtils] DEBUG: Adding port 9999 to list of restricted ports
2020-03-28T15:04:31,884 [rpc.TServerUtils] DEBUG: Adding port 10001 to list of restricted ports
2020-03-28T15:04:31,884 [rpc.TServerUtils] DEBUG: Adding port 9997 to list of restricted ports
2020-03-28T15:04:31,884 [rpc.TServerUtils] DEBUG: Adding port 9998 to list of restricted ports
2020-03-28T15:04:31,884 [rpc.TServerUtils] DEBUG: Adding port 9995 to list of restricted ports
2020-03-28T15:04:31,884 [rpc.TServerUtils] DEBUG: Adding port 12234 to list of restricted ports
2020-03-28T15:04:31,886 [rpc.TServerUtils] DEBUG: Adding port 0 to list of restricted ports
2020-03-28T15:04:31,886 [rpc.TServerUtils] DEBUG: During port search, skipping port 9998 as it is reserved for another service
2020-03-28T15:04:31,886 [rpc.TServerUtils] DEBUG: During port search, skipping port 9999 as it is reserved for another service
2020-03-28T15:04:31,886 [rpc.TServerUtils] DEBUG: Instantiating unsecure custom half-async Thrift server
2020-03-28T15:04:31,887 [rpc.TServerUtils] WARN : Error attempting to create server at 0.0.0.0:10000. Error: Could not create ServerSocket on address /0.0.0.0:10000.
2020-03-28T15:04:31,887 [rpc.TServerUtils] INFO : Unable to use port 10000, retrying. (Thread Name = Thrift Client Server)
2020-03-28T15:04:31,887 [rpc.TServerUtils] DEBUG: During port search, skipping port 10001 as it is reserved for another service
2020-03-28T15:04:31,887 [rpc.TServerUtils] DEBUG: Instantiating unsecure custom half-async Thrift server
2020-03-28T15:04:31,887 [rpc.TServerUtils] WARN : Error attempting to create server at 0.0.0.0:10002. Error: Could not create ServerSocket on address /0.0.0.0:10002.
2020-03-28T15:04:31,887 [rpc.TServerUtils] INFO : Unable to use port 10002, retrying. (Thread Name = Thrift Client Server)
2020-03-28T15:04:31,887 [rpc.TServerUtils] DEBUG: Instantiating unsecure custom half-async Thrift server
2020-03-28T15:04:31,909 [tserver.TabletServer] INFO : address = ubdev:10003",BUG
accumulo,1599,Fix #1598 - Reduce MasterMetricsIT test resources.,,REF
accumulo,4260,fixes SplitRecoveryIT to work with newer columns,SplitRecoveryIT is a tricky test to maintain because it is testing upgrade code that deals with older metadata columns that Accumulo no longer recognizes.  This commit adjust the test to work with recent changes to the metadata schema in the elasticity branch.,BUG
accumulo,1868,Fixes #1867. Move authentication before attempting to create new Client object,"There are a few possible options on where we could authenticate so if anyone has feedback on a better way, let me know.
Results after the change:

The user stays as root since the wrong credentials were entered for the user 'jeff'.
Closes #1867",BUG
accumulo,3941,"rename DataLevel tableId() to metaTableId(), doc updates","Renames the DataLevel method tableId to metaTableId to help clarify that the id returned is the reference to the meta data that contain information for that level (USER points to metadata table, METADATA points to ROOT and ROOT point to ZooKeeper)
Also adds some javadoc to emphasize the level, meta data relationship for forLevel and forTable in TabletsMetadata",REF
accumulo,3099,Fix flaky AuthenticationTokenSecretManagerTest,"Part of the ID of the generated token is the issue date which is the current time in millis so this adds a 1 millisecond sleep in between token generation to guarantee the tokens will be unique.
This fixes #3075",BUG
accumulo,3824,Add tests to SampleIT for files with ranges,"This updates the sample ITs to test that sampling works correctly with fenced files and that only sample data that is in the given ranges will be returned on scans
This addresses part of #3766
Original comment: #3761 (comment)",REF
accumulo,3152,Improve JavaDocs for VolumeChooser classes,"Fixes: #3110
Added more documentation for implementations of the VolumeChooser.
Added property table and basic usage examples to PreferredVolumeChooser.
Fixed minor grammatical issues.",REF
helix,1899,add take/free instance(s) API,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

#1896
Description

 Here are some details about my PR, including screenshots of any UI changes:

This change adds dummy APIs for take/free instance and the batch mode.
Tests

 The following tests are written for this issue:

NA

The following is the result of the ""mvn test"" command on the appropriate module:

(If CI test fails due to known issue, please specify the issue and test PR locally. Then copy & paste the result of ""mvn test"" to here.)
Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REQ
accumulo,2580,Convert defaultTimeoutSeconds() to defaultTimeout(),"This PR changes AccumuloITBase.defaultTimeoutSeconds() (which returns an int value representing the timeout to apply in seconds) to AccumuloITBase.defaultTimeoutDuration() (which returns a Duration to use for the timeout).
The motivation behind this change is it seems like it would be better to use a stronger, more specific type. In this case we are dealing with time, it seems like Duration makes sense instead of int. The seconds value returned by the current implementation of this method is eventually converted into a Duration anyways.",REF
accumulo,4126,ZooStore deferral time to use System.nanoTime(),"closes #4068

ZooStore now uses System.nanoTime() instead of System.currentTimeMillis()
Added TimeUnit param to unreserve()
Renamed 'defered' -> 'deferred'

Also have branch ready to be compared against elasticity if these changes are good (changes were also requested for AccumuloStore in elasticity)",REF
accumulo,3681,Remove getTabletHostingGoal method from TableOperations,"Remove the getTabletHostingGoal method from TableOperations as the information can now be retrieved with the more robust getTabletInformation method.
The shell command, getgoals, still works as before, but the GetTabletHostingGoalCommand was updated to use the new getTabletInformation method to retrieve the necessary information rather than the removed getTabletHostingGoal method.",REF
accumulo,3639,Adds IT that verifies scans see data written by concurrent writers,"The IT ensures that when there are concurrent writes, scans, and table operations that scans always see any data written before the scan started.",BUG
accumulo,3984,Fix TServerClient.getThriftServerConnection for compactor queue names,This fixes an issue introducted in #3951 where the Compactor and ScanServer now expose the ClientService. The issue fixed here is that #3951 did not account for the extra part in the compactor path in ZooKeeper that is used for the queue name.,BUG
helix,1487,Add a configuration option to allow enable/disable writing error log to ZK,"Issues


 My PR addresses the following Helix issues and references them in the PR description:
fix #1486


Description


 Here are some details about my PR, including screenshots of any UI changes:
Improve statusUpdateUtil log error to ZK by adding an option to enabled
it. By default, it would not log error to ZK. This is to avoid some
error code path that keep flooding ZK sever which cause DoS to Zk.
Such as HelixTaskExecutor onMessage creation messageHandler exception.


Tests


 The following tests are written for this issue:
TestStatusUpdateUtil


 The following is the result of the ""mvn test"" command on the appropriate module:


github passed.
https://github.com/apache/helix/runs/1344486165?check_suite_focus=true
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",REF
opennlp,585,OPENNLP-1543 Add Polish abbreviation dictionary,"What does this PR do?

adds abb_PL.xml to opennlp-tools/lang
adds new test cases for the POL localization
adjusts and enhances existing test cases for the PL locale

Tasks
Thank you for contributing to Apache OpenNLP.
In order to streamline the review of the contribution we ask you
to ensure the following steps have been taken:
For all changes:


 Is there a JIRA ticket associated with this PR? Is it referenced
in the commit message?


 Does your PR title start with OPENNLP-XXXX where XXXX is the JIRA number you are trying to resolve? Pay particular attention to the hyphen ""-"" character.


 Has your PR been rebased against the latest commit within the target branch (typically main)?


 Is your initial contribution a single, squashed commit?


For code changes:

 Have you ensured that the full suite of tests is executed via mvn clean install at the root opennlp folder?
 Have you written or updated unit tests to verify your changes?
 If adding new dependencies to the code, are these dependencies licensed in a way that is compatible for inclusion under ASF 2.0?
 If applicable, have you updated the LICENSE file, including the main LICENSE file in opennlp folder?
 If applicable, have you updated the NOTICE file, including the main NOTICE file found in opennlp folder?

For documentation related changes:

 Have you ensured that format looks appropriate for the output in which it is rendered?

Note:
Please ensure that once the PR is submitted, you check GitHub Actions for build issues and submit an update to your PR as soon as possible.",REQ
